Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
15-01-2021,44.16091581,47.15737406,-5000,0,0,113,0
15-01-2021,40.67323584,47.15737406,-10000,0,246,0,0
18-01-2021,43.03110216,47.15737406,-5000,0,0,116,0
18-01-2021,39.98552331,47.15737406,-20000,500,0,0,0
19-01-2021,42.68725215,47.15737406,-5000,0,0,117,0
19-01-2021,33.40314264,47.15737406,-20000,599,0,0,0
20-01-2021,41.99953627,47.15737406,-10000,0,238,0,0
20-01-2021,37.52941094,47.15737406,-20000,533,0,0,0
21-01-2021,42.88373638,47.15737406,-5000,0,0,117,0
21-01-2021,39.54342105,47.15737406,-20000,506,0,0,0
22-01-2021,42.24514458,47.15737406,-10000,0,237,0,0
22-01-2021,39.83815303,47.15737406,-20000,502,0,0,0
25-01-2021,41.16445692,47.15737406,-10000,0,243,0,0
25-01-2021,40.28025471,47.15737406,-10000,0,248,0,0
27-01-2021,42.34339314,47.15737406,-10000,0,236,0,0
27-01-2021,38.85571289,47.15737406,-20000,515,0,0,0
28-01-2021,40.23113333,47.15737406,-10000,0,249,0,0
28-01-2021,38.51185416,47.15737406,-20000,519,0,0,0
29-01-2021,40.91884917,47.15737406,-10000,0,244,0,0
29-01-2021,38.02063472,47.15737406,-20000,526,0,0,0
01-02-2021,42.7363678,47.15737406,-5000,0,0,117,0
01-02-2021,38.61009706,47.15737406,-20000,518,0,0,0
02-02-2021,42.6381254,47.15737406,-5000,0,0,117,0
02-02-2021,39.29781004,47.15737406,-20000,509,0,0,0
03-02-2021,42.14690314,47.15737406,-10000,0,237,0,0
03-02-2021,40.28025565,47.15737406,-10000,0,248,0,0
04-02-2021,41.85216637,47.15737406,-10000,0,239,0,0
04-02-2021,39.93640112,47.15737406,-20000,501,0,0,0
05-02-2021,41.26270496,47.15737406,-10000,0,242,0,0
05-02-2021,39.34693576,47.15737406,-20000,508,0,0,0
08-02-2021,41.75392503,47.15737406,-10000,0,239,0,0
08-02-2021,39.29781179,47.15737406,-20000,509,0,0,0
09-02-2021,41.16445923,47.15737406,-10000,0,243,0,0
09-02-2021,39.543423,47.15737406,-20000,506,0,0,0
10-02-2021,41.01709027,47.15737406,-10000,0,244,0,0
10-02-2021,39.34693255,47.15737406,-20000,508,0,0,0
11-02-2021,41.26270081,47.15737406,-10000,0,242,0,0
11-02-2021,39.34693181,47.15737406,-20000,508,0,0,0
